num_target;   la; isd; niter;     tex; tr_acc; te_acc;  L*
         1;  0.0; 1;  1000;  1.9135;  100.0;  100.0;  9.79e-06
         1;  0.0; 3;    20;  0.0647;  100.0;  100.0;  2.68e-07
         1;  0.0; 4;  1000;  0.0324;  100.0;  100.0;  3.08e-01
         1;  1.0; 1;   129;  0.6914;  100.0;  100.0;  3.65e+00
         1;  1.0; 3;    19;  0.0799;  100.0;  100.0;  3.65e+00
         1;  1.0; 4;  1000;  0.0305;  100.0;  100.0;  1.09e+01
         1; 10.0; 1;    56;  0.3742;  100.0;  100.0;  1.45e+01
         1; 10.0; 3;    29;  0.1333;  100.0;  100.0;  1.45e+01
         1; 10.0; 4;  1000;  0.0294;  100.0;  100.0;  3.75e+01
         2;  0.0; 1;  1000;  1.8816;   95.2;   91.6;  1.20e+01
         2;  0.0; 3;  1000;  9.5371;   94.4;   89.6;  1.39e+01
         2;  0.0; 4;  1000;  0.0308;  100.0;   98.4;  1.36e+00
         2;  1.0; 1;   101;  0.5435;  100.0;   98.4;  7.91e+00
         2;  1.0; 3;    22;  0.0967;  100.0;   98.4;  7.91e+00
         2;  1.0; 4;  1000;  0.0293;   94.4;   91.6;  1.97e+01
         2; 10.0; 1;   122;  0.8812;   95.6;   94.8;  2.31e+01
         2; 10.0; 3;    29;  0.1597;   95.6;   94.8;  2.31e+01
         2; 10.0; 4;  1000;  0.0332;   93.6;   87.6;  4.54e+01
         3;  0.0; 1;  1000;  3.2023;  100.0;   95.6;  1.98e-02
         3;  0.0; 3;   426;  3.3218;   99.2;   93.2;  2.00e+00
         3;  0.0; 4;  1000;  0.0306;   98.4;   98.0;  5.06e+00
         3;  1.0; 1;   132;  0.7854;   97.2;   98.4;  1.36e+01
         3;  1.0; 3;    26;  0.1223;   97.2;   98.4;  1.36e+01
         3;  1.0; 4;  1000;  0.0299;   97.2;   98.4;  2.90e+01
         3; 10.0; 1;   113;  0.8417;   97.2;   98.4;  3.23e+01
         3; 10.0; 3;    28;  0.1573;   97.2;   98.4;  3.23e+01
         3; 10.0; 4;  1000;  0.0292;   88.0;   83.6;  5.41e+01
         4;  0.0; 1;  1000;  1.8430;  100.0;  100.0;  1.74e-05
         4;  0.0; 3;  1000;  9.8482;   99.6;   99.6;  9.01e-01
         4;  0.0; 4;  1000;  0.0294;  100.0;  100.0;  3.33e-01
         4;  1.0; 1;    73;  0.3602;  100.0;  100.0;  3.58e+00
         4;  1.0; 3;    19;  0.0793;  100.0;  100.0;  3.58e+00
         4;  1.0; 4;  1000;  0.0301;  100.0;  100.0;  1.06e+01
         4; 10.0; 1;    35;  0.2182;  100.0;  100.0;  1.42e+01
         4; 10.0; 3;    31;  0.1548;  100.0;  100.0;  1.42e+01
         4; 10.0; 4;  1000;  0.0293;  100.0;  100.0;  3.65e+01
         5;  0.0; 1;  1000;  1.8763;  100.0;   99.6;  1.42e-05
         5;  0.0; 3;  1000;  9.8785;   99.6;   99.2;  9.57e-01
         5;  0.0; 4;  1000;  0.0296;  100.0;   99.6;  6.47e-01
         5;  1.0; 1;   277;  1.5764;  100.0;   99.6;  5.50e+00
         5;  1.0; 3;    20;  0.0922;  100.0;   99.6;  5.50e+00
         5;  1.0; 4;  1000;  0.0425;  100.0;   99.6;  1.56e+01
         5; 10.0; 1;   121;  0.9014;  100.0;   99.6;  1.95e+01
         5; 10.0; 3;    28;  0.1532;  100.0;   99.6;  1.95e+01
         5; 10.0; 4;  1000;  0.0291;   99.2;   99.2;  4.46e+01
         6;  0.0; 1;  1000;  2.1935;  100.0;   98.8;  3.09e-04
         6;  0.0; 3;    87;  0.3488;  100.0;   98.8;  3.91e-07
         6;  0.0; 4;  1000;  0.0828;  100.0;   99.6;  1.15e+00
         6;  1.0; 1;    95;  0.9009;  100.0;   99.2;  7.02e+00
         6;  1.0; 3;    22;  0.1013;  100.0;   99.2;  7.02e+00
         6;  1.0; 4;  1000;  0.0312;   99.6;   98.4;  1.84e+01
         6; 10.0; 1;    77;  0.7574;   99.6;   99.6;  2.21e+01
         6; 10.0; 3;    30;  0.1828;   99.6;   99.6;  2.21e+01
         6; 10.0; 4;  1000;  0.0321;   92.8;   86.0;  4.59e+01
         7;  0.0; 1;  1000;  2.0206;  100.0;  100.0;  8.14e-05
         7;  0.0; 3;    21;  0.1009;  100.0;  100.0;  1.12e-07
         7;  0.0; 4;  1000;  0.0683;  100.0;  100.0;  5.32e-01
         7;  1.0; 1;    73;  0.6248;  100.0;  100.0;  4.45e+00
         7;  1.0; 3;    21;  0.1474;  100.0;  100.0;  4.45e+00
         7;  1.0; 4;  1000;  0.0325;   99.6;   99.2;  1.25e+01
         7; 10.0; 1;    36;  0.2539;  100.0;  100.0;  1.60e+01
         7; 10.0; 3;    28;  0.2077;  100.0;  100.0;  1.60e+01
         7; 10.0; 4;  1000;  0.0441;   96.4;   93.6;  3.87e+01
         8;  0.0; 1;  1000;  3.8398;  100.0;   96.4;  2.04e-02
         8;  0.0; 3;  1000; 11.7670;   98.4;   94.8;  4.00e+00
         8;  0.0; 4;  1000;  0.0297;   98.0;   95.2;  5.54e+00
         8;  1.0; 1;   673;  4.8708;   97.6;   96.0;  1.58e+01
         8;  1.0; 3;    25;  0.1154;   97.6;   96.0;  1.58e+01
         8;  1.0; 4;  1000;  0.0304;   89.6;   85.2;  3.38e+01
         8; 10.0; 1;   214;  2.1351;   97.6;   94.8;  3.66e+01
         8; 10.0; 3;    26;  0.2179;   97.6;   94.8;  3.66e+01
         8; 10.0; 4;  1000;  0.0421;   68.0;   54.8;  5.55e+01
         9;  0.0; 1;  1000;  2.9211;  100.0;   97.6;  3.58e-03
         9;  0.0; 3;  1000; 10.9947;   96.8;   96.4;  8.00e+00
         9;  0.0; 4;  1000;  0.0306;   99.6;   99.2;  2.77e+00
         9;  1.0; 1;   341;  2.3902;  100.0;   98.8;  1.12e+01
         9;  1.0; 3;    26;  0.1103;  100.0;   98.8;  1.12e+01
         9;  1.0; 4;  1000;  0.0320;   98.0;   97.6;  2.69e+01
         9; 10.0; 1;   144;  1.2052;   98.8;   98.4;  3.04e+01
         9; 10.0; 3;    29;  0.1786;   98.8;   98.4;  3.04e+01
         9; 10.0; 4;  1000;  0.0299;   75.2;   56.4;  5.32e+01
         0;  0.0; 1;  1000;  2.4252;  100.0;   98.8;  2.33e-03
         0;  0.0; 3;  1000; 10.0005;   96.0;   97.6;  9.95e+00
         0;  0.0; 4;  1000;  0.0427;   99.6;   99.2;  2.27e+00
         0;  1.0; 1;   462;  3.1098;   99.6;   99.6;  9.20e+00
         0;  1.0; 3;    25;  0.1357;   99.6;   99.6;  9.20e+00
         0;  1.0; 4;  1000;  0.0300;   97.6;   95.2;  2.26e+01
         0; 10.0; 1;    64;  0.4646;   98.4;   98.4;  2.63e+01
         0; 10.0; 3;    30;  0.1601;   98.4;   98.4;  2.63e+01
         0; 10.0; 4;  1000;  0.0333;   68.8;   48.8;  5.03e+01
